Player,Position,FP,FP/GP,Rank,
Dylan Holloway,LW,47,1,642,
Mackenzie Entwistle,RW,47,1,643,
Gustav Lindstrom,D,46,1,644,
Alexei Toropchenko,RW,46,1,645,
Nicolas Deslauriers,LW/RW,45,1,646,
Julien Gauthier,RW,45,1,647,
Oskar Lindblom,LW,44,1,648,
Casey Fitzgerald,D,42,1,649,
Jacob Bryson,D,42,1,650,
Robert Bortuzzo,D,41,1,651,
Ryan Carpenter,C/RW,39,1,652,
Tyler Pitlick,LW/RW,36,1,653,
Reese Johnson,C,34,1,654,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
